"Points:0","Points:1","Points:2","arc_length","p"
0.14515,0.016793,0,0.34816,-111.64
0.14613,0.016582,0,0.34916,-110.7
0.14711,0.01637,0,0.35016,-109.74
0.14809,0.016156,0,0.35116,-108.8
0.14907,0.015937,0,0.35218,-107.9
0.15007,0.015712,0,0.3532,-107.08
0.15108,0.015484,0,0.35424,-106.33
0.15209,0.015253,0,0.35527,-105.43
0.15307,0.015024,0,0.35628,-104.4
0.15405,0.014796,0,0.35728,-103.39
0.15502,0.014564,0,0.35828,-102.43
0.156,0.01433,0,0.35928,-101.48
0.15698,0.01409,0,0.36029,-100.5
0.15797,0.013845,0,0.36132,-99.565
0.15896,0.013597,0,0.36234,-98.573
0.15994,0.013349,0,0.36335,-97.43
0.16091,0.013099,0,0.36435,-96.298
0.16188,0.012845,0,0.36535,-95.168
0.16285,0.012589,0,0.36636,-93.974
0.16382,0.012329,0,0.36736,-92.741
0.16479,0.012063,0,0.36837,-91.555
0.16576,0.011792,0,0.36938,-90.276
0.16673,0.01152,0,0.37038,-88.776
0.16769,0.011242,0,0.37138,-87.229
0.16865,0.01096,0,0.37238,-85.622
0.16962,0.010672,0,0.37339,-83.984
0.17059,0.010376,0,0.37441,-82.303
0.17156,0.010075,0,0.37542,-80.469
0.17251,0.0097724,0,0.37642,-78.501
0.17346,0.009464,0,0.37742,-76.467
0.17442,0.0091467,0,0.37843,-74.321
0.17538,0.0088204,0,0.37944,-72.046
0.17633,0.0084857,0,0.38045,-69.688
0.17727,0.0081477,0,0.38145,-67.07
0.17821,0.007802,0,0.38245,-64.188
0.17915,0.0074462,0,0.38345,-61.267
0.18008,0.0070791,0,0.38446,-58.253
0.18101,0.0067004,0,0.38546,-55.056
0.18193,0.0063128,0,0.38646,-51.698
0.18285,0.0059119,0,0.38746,-48.225
0.18376,0.0054946,0,0.38846,-44.787
0.18467,0.0050564,0,0.38947,-41.131
0.18556,0.0046017,0,0.39047,-37.881
0.18643,0.0041216,0,0.39147,-33.762
0.18729,0.0036068,0,0.39247,-33.455
0.18813,0.0030527,0,0.39347,-20.185
0.18893,0.0024418,0,0.39448,-66.624
