"Points:0","Points:1","Points:2","arc_length","p"
0.069059,0.0081295,0,0.34428,55.411
0.067777,0.0079389,0,0.34558,55.319
0.066729,0.0078097,0,0.34664,54.814
0.065686,0.0076811,0,0.34769,53.706
0.064747,0.0075508,0,0.34863,52.668
0.06381,0.0074207,0,0.34958,51.759
0.062872,0.0072904,0,0.35053,51.169
0.061929,0.0071594,0,0.35148,50.32
0.060981,0.0070277,0,0.35244,49.319
0.059935,0.0068722,0,0.35349,48.459
0.058893,0.0067173,0,0.35455,47.589
0.057857,0.0065631,0,0.3556,46.66
0.056813,0.0064078,0,0.35665,45.791
0.055767,0.0062522,0,0.35771,44.888
0.054724,0.006097,0,0.35876,44.043
0.053685,0.0059426,0,0.35981,43.392
0.052651,0.0057887,0,0.36086,42.404
0.051683,0.0056349,0,0.36184,41.025
0.050711,0.0054804,0,0.36282,39.929
0.049734,0.0053251,0,0.36381,38.94
0.048757,0.0051697,0,0.3648,37.937
0.047785,0.0050152,0,0.36579,36.937
0.046815,0.004861,0,0.36677,35.474
0.045838,0.0047058,0,0.36776,33.769
0.044722,0.004519,0,0.36889,32.676
0.043612,0.0043332,0,0.37001,31.769
0.04259,0.0041711,0,0.37105,30.536
0.041569,0.0040092,0,0.37208,29.323
0.040542,0.0038463,0,0.37312,28.028
0.039481,0.0036759,0,0.3742,26.731
0.03842,0.0035053,0,0.37527,25.504
0.037365,0.0033358,0,0.37634,24.187
0.036311,0.0031663,0,0.37741,22.811
0.03525,0.0029958,0,0.37848,21.45
0.034189,0.0028253,0,0.37956,20.555
0.033136,0.002656,0,0.38062,20.299
0.032388,0.0025513,0,0.38138,17.849
0.031641,0.0024467,0,0.38213,16.248
0.030667,0.0023038,0,0.38312,17.292
0.02969,0.0021603,0,0.3841,17.864
0.028708,0.0020161,0,0.3851,16.549
0.027721,0.0018968,0,0.38609,8.8574
0.027236,0.0018155,0,0.38658,1.3879
0.026376,0.0015862,0,0.38747,-2.2241
0.025904,0.0014061,0,0.38798,-11.735
0.025348,0.001259,0,0.38855,-6.1654
0.024768,0.0012963,0,0.38914,9.8335
0.023833,0.0013187,0,0.39007,11.845
0.022917,0.0012153,0,0.39099,9.3371
0.022003,0.0011121,0,0.39191,4.431
0.021094,0.0010094,0,0.39283,-3.7166
0.020258,0.00076521,0,0.3937,-8.4156
0.019421,0.00052069,0,0.39457,-16.44
0.018651,0.00026761,0,0.39538,-16.447
0.017686,0.00016867,0,0.39635,-32.468
0.016897,-5.8391e-05,0,0.39717,-16.485
0.016114,5.5139e-05,0,0.39796,15.436
0.015481,2.6347e-05,0,0.3986,2.0682
0.014758,-0.00016517,0,0.39934,-4.1282
0.014502,-0.00024898,0,0.39961,-24.96
0.014359,-0.0003038,0,0.39977,-40.771
0.014141,-0.00034473,0,0.39999,-38.746
0.014004,-0.00035859,0,0.40013,-37.723
0.013755,-0.00036843,0,0.40037,-17.627
0.013548,-0.0003548,0,0.40058,-3.1974
0.013389,-0.00035166,0,0.40074,-18.332
0.013179,-0.00033477,0,0.40095,-13.067
0.012322,-0.0003038,0,0.40181,5.3518
0.011664,-0.00035166,0,0.40247,2.5923
0.011372,-0.00038878,0,0.40276,0.77469
0.010781,-0.00048464,0,0.40336,-3.5226
0.010567,-0.0005002,0,0.40358,-29.185
0.010195,-0.00056819,0,0.40396,-46.093
0.009783,-0.00076327,0,0.40441,-48.499
0.0093031,-0.00094664,0,0.40492,-43.3
0.0089904,-0.00096937,0,0.40524,-29.683
0.0085801,-0.00096937,0,0.40565,-41.127
0.0082765,-0.0010079,0,0.40595,-49.285
0.0075359,-0.0010831,0,0.4067,-41.817
0.0067919,-0.0011586,0,0.40745,-48.073
0.0062385,-0.0012599,0,0.40801,-56.856
0.0059803,-0.0012702,0,0.40827,-49.444
0.0053806,-0.001222,0,0.40887,-36.431
0.0044588,-0.0011809,0,0.40979,-42.748
0.0033772,-0.0012907,0,0.41088,-58.567
0.0025906,-0.0015125,0,0.4117,-77.322
0.0023321,-0.0015598,0,0.41196,-75.743
0.0014421,-0.0015598,0,0.41285,-75.268
0.00079727,-0.0016177,0,0.4135,-79.771
-0.00020785,-0.0016177,0,0.4145,-68.063
-0.00058269,-0.0016449,0,0.41488,-97.553
-0.00088355,-0.0016469,0,0.41518,-121.11
-0.0016718,-0.0016313,0,0.41597,-108.3
-0.0023621,-0.001586,0,0.41666,-98.78
-0.0029546,-0.0015125,0,0.41726,-101.17
-0.0036765,-0.0014544,0,0.41798,-96.214
-0.0041927,-0.001379,0,0.4185,-108.26
-0.0044659,-0.0013297,0,0.41878,-124.66
-0.005305,-0.0011661,0,0.41963,-117.48
-0.0057146,-0.0010752,0,0.42005,-106.03
-0.0062905,-0.00088916,0,0.42066,-101.82
-0.006628,-0.00079317,0,0.42101,-132.24
-0.0070503,-0.00068108,0,0.42145,-155.25
-0.0072098,-0.0006226,0,0.42162,-162.9
-0.007399,-0.00052609,0,0.42183,-165.6
-0.0075895,-0.00041001,0,0.42205,-157.16
-0.0077339,-0.0003038,0,0.42223,-163.16
-0.0079057,-0.00015245,0,0.42246,-144.19
-0.008026,1.7394e-05,0,0.42267,-86.332
